sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0647115707397461,5,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.06547689437866211,6,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.06670933961868286,7,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.06639724969863892,8,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.06723946332931519,9,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.06903845071792603,10,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.07061576843261719,11,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.07202428579330444,12,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0,0,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0328022837638855,1,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.045248210430145264,2,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.04967540502548218,3,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.05218946933746338,4,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.055223047733306885,5,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.06054657697677612,6,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.06196010112762451,7,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.06014293432235718,8,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.06137436628341675,9,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.06150257587432861,10,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.061315298080444336,11,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.06318897008895874,12,3.9,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.0,0,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.02802664041519165,1,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.03942221403121948,2,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.044220924377441406,3,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.047942399978637695,4,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04935789108276367,5,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04911327362060547,6,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04892808198928833,7,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.05013662576675415,8,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04963809251785278,9,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04908019304275513,10,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.04971688985824585,11,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.05007058382034302,12,3.764705882,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0,0,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.02698296308517456,1,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.039882123470306396,2,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04170149564743042,3,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04169738292694092,4,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04423093795776367,5,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04560631513595581,6,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.044318199157714844,7,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.043554484844207764,8,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.043821871280670166,9,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04220861196517944,10,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04121977090835571,11,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.04196512699127197,12,1.571428571,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0,0,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.02566981315612793,1,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.038219451904296875,2,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.04278826713562012,3,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.044541001319885254,4,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.04767584800720215,5,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.04972773790359497,6,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.04908019304275513,7,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.04912656545639038,8,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.048117220401763916,9,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.047993600368499756,10,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.04801356792449951,11,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.049047768115997314,12,1.0,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0,0,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.05722379684448242,1,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.07697981595993042,2,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.08891540765762329,3,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.09372419118881226,4,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.11104369163513184,5,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.1176416277885437,6,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.11609816551208496,7,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.11792892217636108,8,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.1139991283416748,9,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.11883866786956787,10,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.12098133563995361,11,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.12524265050888062,12,1.235294118,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0,0,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.053535640239715576,1,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.07459676265716553,2,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.08336055278778076,3,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.09079211950302124,4,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.10490190982818604,5,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.11169558763504028,6,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.11032938957214355,7,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.11091172695159912,8,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.1047319769859314,9,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.10794293880462646,10,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.1083415150642395,11,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.11415058374404907,12,0.714285714,8,6,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.0,0,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.05642879009246826,1,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.07876080274581909,2,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.08980488777160645,3,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.09158861637115479,4,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.10975193977355957,5,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.11145120859146118,6,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.11115109920501709,7,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.11160767078399658,8,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.10876309871673584,9,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.11263751983642578,10,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.11220085620880127,11,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.11730355024337769,12,3.7,6,8,2,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.0,0,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.0200577974319458,1,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.032296955585479736,2,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.03638261556625366,3,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.038665950298309326,4,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.040719568729400635,5,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.04187661409378052,6,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.0416409969329834,7,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.03895926475524902,8,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.0378153920173645,9,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.037399232387542725,10,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.03740549087524414,11,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.03822118043899536,12,3.272727273,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.0,0,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.033187925815582275,1,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.04405730962753296,2,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.04770803451538086,3,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.04995244741439819,4,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.049510300159454346,5,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.049156785011291504,6,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.046960413455963135,7,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.0472874641418457,8,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.047579824924468994,9,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,Different Sense,0.04998666048049927,10,1.214285714,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
