,dataset_name,sentence_number,sentences
34,geco,1-35,"She's  the  mater's  factotum,  companion,  Jack  of  all  trades! "
35,geco,1-36,A  great  sport...old  Evie! 
36,geco,1-37,"Not  precisely  young  and  beautiful,  but  as  game  as  they  make  them. "
37,geco,1-38,You  were  going  to  say......? 
38,geco,1-39,"Oh,  this  fellow! "
39,geco,1-40,"He  turned  up  from  nowhere,  on  the  pretext  of  being  a  second  cousin  or  something  of  Evie's,  though  she  didn't  seem  particularly  keen  to  acknowledge  the  relationship. "
40,geco,1-41,"The  fellow  is  an  absolute  outsider,  anyone  can  see  that. "
41,geco,1-42,"He's  got  a  great  black  beard,  and  wears  patent  leather  boots  in  all  weathers! "
42,geco,1-43,"But  the  mater  cottoned  to  him  at  once,  took  him  on  as  secretary...you  know  how  she's  always  running  a  hundred  societies? "
43,geco,1-44,I  nodded. 
44,geco,1-45,"Well,  of  course  the  war  has  turned  the  hundreds  into  thousands. "
45,geco,1-46,No  doubt  the  fellow  was  very  useful  to  her. 
46,geco,1-47,"But  you  could  have  knocked  us  all  down  with  a  feather  when,  three  months  ago,  she  suddenly  announced  that  she  and  Alfred  were  engaged! "
47,geco,1-48,The  fellow  must  be  at  least  twenty  years  younger  than  she  is! 
48,geco,1-49,"It's  simply  bare-faced  fortune  hunting;  but  there  you  are...she  is  her  own  mistress,  and  she's  married  him. "
49,geco,1-50,It  must  be  a  difficult  situation  for  you  all. 
50,geco,1-51,Difficult! 
51,geco,1-52,It's  damnable! 
52,geco,1-53,"Thus  it  came  about  that,  three  days  later,  I  descended  from  the  train  at  Styles  St. "
53,geco,1-54,"Mary,  an  absurd  little  station,  with  no  apparent  reason  for  existence,  perched  up  in  the  midst  of  green  fields  and  country  lanes. "
54,geco,1-55,"John  Cavendish  was  waiting  on  the  platform,  and  piloted  me  out  to  the  car. "
55,geco,1-56,"Got  a  drop  or  two  of  petrol  still,  you  see,  he  remarked. "
56,geco,1-57,Mainly  owing  to  the  mater's  activities. 
57,geco,1-58,The  village  of  Styles  St. 
58,geco,1-59,"Mary  was  situated  about  two  miles  from  the  little  station,  and  Styles  Court  lay  a  mile  the  other  side  of  it. "
59,geco,1-60,"It  was  a  still,  warm  day  in  early  July. "
60,geco,1-61,"As  one  looked  out  over  the  flat  Essex  country,  lying  so  green  and  peaceful  under  the  afternoon  sun,  it  seemed  almost  impossible  to  believe  that,  not  so  very  far  away,  a  great  war  was  running  its  appointed  course. "
61,geco,1-62,I  felt  I  had  suddenly  strayed  into  another  world. 
62,geco,1-63,"As  we  turned  in  at  the  lodge  gates,  John  said:  I'm  afraid  you'll  find  it  very  quiet  down  here,  Hastings. "
63,geco,1-64,"My  dear  fellow,  that's  just  what  I  want. "
64,geco,1-65,"Oh,  it's  pleasant  enough  if  you  want  to  lead  the  idle  life. "
65,geco,1-66,"I  drill  with  the  volunteers  twice  a  week,  and  lend  a  hand  at  the  farms. "
66,geco,1-67,My  wife  works  regularly  'on  the  land'. 
67,geco,1-68,"She  is  up  at  five  every  morning  to  milk,  and  keeps  at  it  steadily  until  lunchtime. "
68,geco,1-69,It's  a  jolly  good  life  taking  it  all  round...if  it  weren't  for  that  fellow  Alfred  Inglethorp! 
69,geco,1-70,"He  checked  the  car  suddenly,  and  glanced  at  his  watch. "
70,geco,1-71,I  wonder  if  we've  time  to  pick  up  Cynthia. 
71,geco,1-72,"No,  she'll  have  started  from  the  hospital  by  now. "
72,geco,1-73,Cynthia! 
73,geco,1-74,That's  not  your  wife? 
74,geco,1-75,"No,  Cynthia  is  a  protegee  of  my  mother's,  the  daughter  of  an  old  schoolfellow  of  hers,  who  married  a  rascally  solicitor. "
75,geco,1-76,"He  came  a  cropper,  and  the  girl  was  left  an  orphan  and  penniless. "
76,geco,1-77,"My  mother  came  to  the  rescue,  and  Cynthia  has  been  with  us  nearly  two  years  now. "
77,geco,1-78,"She  works  in  the  Red  Cross  Hospital  at  Tadminster,  seven  miles  away. "
78,geco,1-79,"As  he  spoke  the  last  words,  we  drew  up  in  front  of  the  fine  old  house. "
79,geco,1-80,"A  lady  in  a  stout  tweed  skirt,  who  was  bending  over  a  flower  bed,  straightened  herself  at  our  approach. "
80,geco,1-81,"Hullo,  Evie,  here's  our  wounded  hero! "
81,geco,1-82,mr  Hastings...Miss  Howard. 
82,geco,1-83,"Miss  Howard  shook  hands  with  a  hearty,  almost  painful,  grip. "
83,geco,1-84,I  had  an  impression  of  very  blue  eyes  in  a  sunburnt  face. 
84,geco,1-85,"She  was  a  pleasant-looking  woman  of  about  forty,  with  a  deep  voice,  almost  manly  in  its  stentorian  tones,  and  had  a  large  sensible  square  body,  with  feet  to  match...these  last  encased  in  good  thick  boots. "
85,geco,1-86,"Her  conversation,  I  soon  found,  was  couched  in  the  telegraphic  style. "
86,geco,1-87,Weeds  grow  like  house  afire. 
87,geco,1-88,Can't  keep  even  with  'em. 
88,geco,1-89,Shall  press  you  in. 
89,geco,1-90,Better  be  careful. 
90,geco,1-91,"I'm  sure  I  shall  be  only  too  delighted  to  make  myself  useful,  I  responded. "
91,geco,1-92,Don't  say  it. 
92,geco,1-93,Never  does. 
93,geco,1-94,Wish  you  hadn't  later. 
94,geco,1-95,"You're  a  cynic,  Evie,  said  John,  laughing. "
95,geco,1-96,Where's  tea  today...inside  or  out? 
96,geco,1-97,Out. 
97,geco,1-98,Too  fine  a  day  to  be  cooped  up  in  the  house. 
98,geco,1-99,"Come  on  then,  you've  done  enough  gardening  for  today. "
99,geco,1-100,"'The  labourer  is  worthy  of  his  hire',  you  know. "
100,geco,1-101,Come  and  be  refreshed. 
101,geco,1-102,"Well,  said  Miss  Howard,  drawing  off  her  gardening  gloves,  I'm  inclined  to  agree  with  you. "
102,geco,1-103,She  led  the  way  round  the  house  to  where  tea  was  spread  under  the  shade  of  a  large  sycamore. 
103,geco,1-104,"A  figure  rose  from  one  of  the  basket  chairs,  and  came  a  few  steps  to  meet  us. "
104,geco,1-105,"My  wife,  Hastings,  said  John. "
105,geco,1-106,I  shall  never  forget  my  first  sight  of  Mary  Cavendish. 
106,geco,1-107,"Her  tall,  slender  form,  outlined  against  the  bright  light;  the  vivid  sense  of  slumbering  fire  that  seemed  to  find  expression  only  in  those  wonderful  tawny  eyes  of  hers,  remarkable  eyes,  different  from  any  other  woman's  that  I  have  ever  known;  the  intense  power  of  stillness  she  possessed,  which  nevertheless  conveyed  the  impression  of  a  wild  untamed  spirit  in  an  exquisitely  civilised  body...all  these  things  are  burnt  into  my  memory. "
107,geco,1-108,I  shall  never  forget  them. 
108,geco,1-109,"She  greeted  me  with  a  few  words  of  pleasant  welcome  in  a  low  clear  voice,  and  I  sank  into  a  basket  chair  feeling  distinctly  glad  that  I  had  accepted  John's  invitation. "
109,geco,1-110,"Mr.s.  Cavendish  gave  me  some  tea,  and  her  few  quiet  remarks  heightened  my  first  impression  of  her  as  a  thoroughly  fascinating  woman. "
110,geco,1-111,"An  appreciative  listener  is  always  stimulating,  and  I  described,  in  a  humorous  manner,  certain  incidents  of  my  Convalescent  Home,  in  a  way  which,  I  flatter  myself,  greatly  amused  my  hostess. "
111,geco,1-112,"John,  of  course,  good  fellow  though  he  is,  could  hardly  be  called  a  brilliant  conversationalist. "
112,geco,1-113,"At  that  moment  a  well  remembered  voice  floated  through  the  open  French  window  near  at  hand:  Then  you'll  write  to  the  Princess  after  tea,  Alfred? "
113,geco,1-114,"I'll  write  to  Lady  Tadminster  for  the  second  day,  myself. "
114,geco,1-115,Or  shall  we  wait  until  we  hear  from  the  Princess? 
115,geco,1-116,"In  case  of  a  refusal,  Lady  Tadminster  might  open  it  the  first  day,  and  Mr.s.  Crosbie  the  second. "
116,geco,1-117,Then  there's  the  Duchess...about  the  school  fete. 
117,geco,1-118,"There  was  the  murmur  of  a  man's  voice,  and  then  Mr.s.  Inglethorp's  rose  in  reply:  Yes,  certainly. "
118,geco,1-119,After  tea  will  do  quite  well. 
119,geco,1-120,"You  are  so  thoughtful,  Alfred  dear. "
120,geco,1-121,"The  French  window  swung  open  a  little  wider,  and  a  handsome  white-haired  old  lady,  with  a  somewhat  masterful  cast  of  features,  stepped  out  of  it  on  to  the  lawn. "
121,geco,1-122,"A  man  followed  her,  a  suggestion  of  deference  in  his  manner. "
122,geco,1-123,Mr.s.  Inglethorp  greeted  me  with  effusion. 
123,geco,1-124,"Why,  if  it  isn't  too  delightful  to  see  you  again,  mr  Hastings,  after  all  these  years. "
124,geco,1-125,"Alfred,  darling,  mr  Hastings...my  husband. "
125,geco,1-126,I  looked  with  some  curiosity  at  'Alfred  darling'. 
126,geco,1-127,He  certainly  struck  a  rather  alien  note. 
127,geco,1-128,I  did  not  wonder  at  John  objecting  to  his  beard. 
128,geco,1-129,It  was  one  of  the  longest  and  blackest  I  have  ever  seen. 
129,geco,1-130,"He  wore  gold-rimmed  pince-nez,  and  had  a  curious  impassivity  of  feature. "
130,geco,1-131,"It  struck  me  that  he  might  look  natural  on  a  stage,  but  was  strangely  out  of  place  in  real  life. "
131,geco,1-132,His  voice  was  rather  deep  and  unctuous. 
132,geco,1-133,"He  placed  a  wooden  hand  in  mine  and  said:  This  is  a  pleasure,  mr  Hastings. "
133,geco,1-134,"Then,  turning  to  his  wife:  Emily  dearest,  I  think  that  cushion  is  a  little  damp. "
134,geco,1-135,"She  beamed  fondly  on  him,  as  he  substituted  another  with  every  demonstration  of  the  tenderest  care. "
135,geco,1-136,Strange  infatuation  of  an  otherwise  sensible  woman! 
136,geco,1-137,"With  the  presence  of  mr  Inglethorp,  a  sense  of  constraint  and  veiled  hostility  seemed  to  settle  down  upon  the  company. "
137,geco,1-138,"Miss  Howard,  in  particular,  took  no  pains  to  conceal  her  feelings. "
138,geco,1-139,"Mr.s.  Inglethorp,  however,  seemed  to  notice  nothing  unusual. "
139,geco,1-140,"Her  volubility,  which  I  remembered  of  old,  had  lost  nothing  in  the  intervening  years,  and  she  poured  out  a  steady  flood  of  conversation,  mainly  on  the  subject  of  the  forthcoming  bazaar  which  she  was  organizing  and  which  was  to  take  place  shortly. "
140,geco,1-141,Occasionally  she  referred  to  her  husband  over  a  question  of  days  or  dates. 
141,geco,1-142,His  watchful  and  attentive  manner  never  varied. 
142,geco,1-143,"From  the  very  first  I  took  a  firm  and  rooted  dislike  to  him,  and  I  flatter  myself  that  my  first  judgments  are  usually  fairly  shrewd. "
143,geco,1-144,"Presently  Mr.s.  Inglethorp  turned  to  give  some  instructions  about  letters  to  Evelyn  Howard,  and  her  husband  addressed  me  in  his  painstaking  voice:  Is  soldiering  your  regular  profession,  mr  Hastings? "
144,geco,1-145,"No,  before  the  war  I  was  in  Lloyd's. "
145,geco,1-146,And  you  will  return  there  after  it  is  over? 
146,geco,1-147,Perhaps. 
147,geco,1-148,Either  that  or  a  fresh  start  altogether. 
148,geco,1-149,Mary  Cavendish  leant  forward. 
149,geco,1-150,"What  would  you  really  choose  as  a  profession,  if  you  could  just  consult  your  inclination? "
150,geco,1-151,"Well,  that  depends. "
151,geco,1-152,No  secret  hobby?  she  asked. 
152,geco,1-153,Tell  me...you're  drawn  to  something? 
153,geco,1-154,Every  one  is...usually  something  absurd. 
154,geco,1-155,You'll  laugh  at  me. 
155,geco,1-156,She  smiled. 
156,geco,1-157,Perhaps. 
157,geco,1-158,"Well,  I've  always  had  a  secret  hankering  to  be  a  detective! "
158,geco,1-159,The  real  thing...Scotland  Yard? 
159,geco,1-160,Or  Sherlock  Holmes? 
160,geco,1-161,"Oh,  Sherlock  Holmes  by  all  means. "
161,geco,1-162,"But  really,  seriously,  I  am  awfully  drawn  to  it. "
162,geco,1-163,"I  came  across  a  man  in  Belgium  once,  a  very  famous  detective,  and  he  quite  inflamed  me. "
163,geco,1-164,He  was  a  marvellous  little  fellow. 
164,geco,1-165,He  used  to  say  that  all  good  detective  work  was  a  mere  matter  of  method. 
165,geco,1-166,My  system  is  based  on  his...though  of  course  I  have  progressed  rather  further. 
166,geco,1-167,"He  was  a  funny  little  man,  a  great  dandy,  but  wonderfully  clever. "
167,geco,1-168,"Like  a  good  detective  story  myself,  remarked  Miss  Howard. "
168,geco,1-169,"Lots  of  nonsense  written,  though. "
169,geco,1-170,Criminal  discovered  in  last  chapter. 
170,geco,1-171,Every  one  dumbfounded. 
171,geco,1-172,Real  crime...you'd  know  at  once. 
172,geco,1-173,"There  have  been  a  great  number  of  undiscovered  crimes,  I  argued. "
173,geco,1-174,"Don't  mean  the  police,  but  the  people  that  are  right  in  it. "
174,geco,1-175,The  family. 
175,geco,1-176,You  couldn't  really  hoodwink  them. 
176,geco,1-177,They'd  know. 
177,geco,1-178,"Then,  I  said,  much  amused,  you  think  that  if  you  were  mixed  up  in  a  crime,  say  a  murder,  you'd  be  able  to  spot  the  murderer  right  off? "
178,geco,1-179,Of  course  I  should. 
179,geco,1-180,Mightn't  be  able  to  prove  it  to  a  pack  of  lawyers. 
180,geco,1-181,But  I'm  certain  I'd  know. 
181,geco,1-182,I'd  feel  it  in  my  fingertips  if  he  came  near  me. 
182,geco,1-183,"It  might  be  a  'she,'  I  suggested. "
183,geco,1-184,Might. 
184,geco,1-185,But  murder's  a  violent  crime. 
185,geco,1-186,Associate  it  more  with  a  man. 
186,geco,1-187,Not  in  a  case  of  poisoning. 
187,geco,1-188,Mr.s.  Cavendish's  clear  voice  startled  me. 
188,geco,1-189,"Dr  Bauerstein  was  saying  yesterday  that,  owing  to  the  general  ignorance  of  the  more  uncommon  poisons  among  the  medical  profession,  there  were  probably  countless  cases  of  poisoning  quite  unsuspected. "
189,geco,1-190,"Why,  Mary,  what  a  gruesome  conversation!  cried  Mr.s.  Inglethorp. "
190,geco,1-191,It  makes  me  feel  as  if  a  goose  were  walking  over  my  grave. 
191,geco,1-192,"Oh,  there's  Cynthia! "
192,geco,1-193,A  young  girl  in  V. 
193,geco,1-194,A. 
194,geco,1-195,D. 
195,geco,1-196,uniform  ran  lightly  across  the  lawn. 
196,geco,1-197,"Why,  Cynthia,  you  are  late  today. "
197,geco,1-198,This  is  mr  Hastings...Miss  Murdoch. 
198,geco,1-199,"Cynthia  Murdoch  was  a  fresh-looking  young  creature,  full  of  life  and  vigour. "
199,geco,1-200,She  tossed  off  her  little  V. 
200,geco,1-201,A. 
201,geco,1-202,D. 
202,geco,1-203,"cap,  and  I  admired  the  great  loose  waves  of  her  auburn  hair,  and  the  smallness  and  whiteness  of  the  hand  she  held  out  to  claim  her  tea. "
203,geco,1-204,With  dark  eyes  and  eyelashes  she  would  have  been  a  beauty. 
204,geco,1-205,"She  flung  herself  down  on  the  ground  beside  John,  and  as  I  handed  her  a  plate  of  sandwiches  she  smiled  up  at  me. "
205,geco,1-206,"Sit  down  here  on  the  grass,  do. "
206,geco,1-207,It's  ever  so  much  nicer. 
207,geco,1-208,I  dropped  down  obediently. 
208,geco,1-209,"You  work  at  Tadminster,  don't  you,  Miss  Murdoch? "
209,geco,1-210,She  nodded. 
210,geco,1-211,For  my  sins. 
211,geco,1-212,"Do  they  bully  you,  then?  I  asked,  smiling. "
212,geco,1-213,I  should  like  to  see  them!  cried  Cynthia  with  dignity. 
213,geco,1-214,"I  have  got  a  cousin  who  is  nursing,  I  remarked. "
214,geco,1-215,And  she  is  terrified  of  'Sisters'. 
215,geco,1-216,I  don't  wonder. 
216,geco,1-217,"Sisters  are,  you  know,  mr  Hastings. "
217,geco,1-218,They  simply  are! 
218,geco,1-219,You've  no  idea! 
219,geco,1-220,"But  I'm  not  a  nurse,  thank  heaven,  I  work  in  the  dispensary. "
220,geco,1-221,"How  many  people  do  you  poison?  I  asked,  smiling. "
221,geco,1-222,Cynthia  smiled  too. 
222,geco,1-223,"Oh,  hundreds!  she  said. "
223,geco,1-224,"Cynthia,  called  Mr.s.  Inglethorp,  do  you  think  you  could  write  a  few  notes  for  me? "
224,geco,1-225,"Certainly,  Aunt  Emily. "
225,geco,1-226,"She  jumped  up  promptly,  and  something  in  her  manner  reminded  me  that  her  position  was  a  dependent  one,  and  that  Mr.s.  Inglethorp,  kind  as  she  might  be  in  the  main,  did  not  allow  her  to  forget  it. "
226,geco,1-227,My  hostess  turned  to  me. 
227,geco,1-228,John  will  show  you  your  room. 
228,geco,1-229,Supper  is  at  half-past  seven. 
229,geco,1-230,We  have  given  up  late  dinner  for  some  time  now. 
230,geco,1-231,"Lady  Tadminster,  our  Member's  wife...she  was  the  late  Lord  Abbotsbury's  daughter...does  the  same. "
231,geco,1-232,She  agrees  with  me  that  one  must  set  an  example  of  economy. 
232,geco,1-233,"We  are  quite  a  war  household;  nothing  is  wasted  here...every  scrap  of  waste  paper,  even,  is  saved  and  sent  away  in  sacks. "
233,geco,1-234,"I  expressed  my  appreciation,  and  John  took  me  into  the  house  and  up  the  broad  staircase,  which  forked  right  and  left  half-way  to  different  wings  of  the  building. "
234,geco,1-235,"My  room  was  in  the  left  wing,  and  looked  out  over  the  park. "
235,geco,1-236,"John  left  me,  and  a  few  minutes  later  I  saw  him  from  my  window  walking  slowly  across  the  grass  arm  in  arm  with  Cynthia  Murdoch. "
236,geco,1-237,"I  heard  Mr.s.  Inglethorp  call  Cynthia  impatiently,  and  the  girl  started  and  ran  back  to  the  house. "
237,geco,1-238,"At  the  same  moment,  a  man  stepped  out  from  the  shadow  of  a  tree  and  walked  slowly  in  the  same  direction. "
238,geco,1-239,"He  looked  about  forty,  very  dark  with  a  melancholy  clean-shaven  face. "
239,geco,1-240,Some  violent  emotion  seemed  to  be  mastering  him. 
240,geco,1-241,"He  looked  up  at  my  window  as  he  passed,  and  I  recognized  him,  though  he  had  changed  much  in  the  fifteen  years  that  had  elapsed  since  we  last  met. "
241,geco,1-242,"It  was  John's  younger  brother,  Lawrence  Cavendish. "
242,geco,1-243,I  wondered  what  it  was  that  had  brought  that  singular  expression  to  his  face. 
243,geco,1-244,"Then  I  dismissed  him  from  my  mind,  and  returned  to  the  contemplation  of  my  own  affairs. "
244,geco,1-245,"The  evening  passed  pleasantly  enough;  and  I  dreamed  that  night  of  that  enigmatical  woman,  Mary  Cavendish. "
245,geco,1-246,"The  next  morning  dawned  bright  and  sunny,  and  I  was  full  of  the  anticipation  of  a  delightful  visit. "
246,geco,1-247,"I  did  not  see  Mr.s.  Cavendish  until  lunch-time,  when  she  volunteered  to  take  me  for  a  walk,  and  we  spent  a  charming  afternoon  roaming  in  the  woods,  returning  to  the  house  about  five. "
247,geco,1-248,"As  we  entered  the  large  hall,  John  beckoned  us  both  into  the  smoking-room. "
248,geco,1-249,I  saw  at  once  by  his  face  that  something  disturbing  had  occurred. 
249,geco,1-250,"We  followed  him  in,  and  he  shut  the  door  after  us. "
250,geco,1-251,"Look  here,  Mary,  there's  the  deuce  of  a  mess. "
251,geco,1-252,"Evie's  had  a  row  with  Alfred  Inglethorp,  and  she's  off. "
252,geco,1-253,Evie? 
253,geco,1-254,Off? 
254,geco,1-255,John  nodded  gloomily. 
255,geco,1-256,"Yes;  you  see  she  went  to  the  mater,  and...Oh,  here's  Evie  herself. "
256,geco,1-257,Miss  Howard  entered. 
257,geco,1-258,"Her  lips  were  set  grimly  together,  and  she  carried  a  small  suit-case. "
258,geco,1-259,"She  looked  excited  and  determined,  and  slightly  on  the  defensive. "
259,geco,1-260,"At  any  rate,  she  burst  out,  I've  spoken  my  mind! "
260,geco,1-261,"My  dear  Evelyn,  cried  Mr.s.  Cavendish,  this  can't  be  true! "
261,geco,1-262,Miss  Howard  nodded  grimly. 
262,geco,1-263,True  enough! 
263,geco,1-264,Afraid  I  said  some  things  to  Emily  she  won't  forget  or  forgive  in  a  hurry. 
264,geco,1-265,Don't  mind  if  they've  only  sunk  in  a  bit. 
265,geco,1-266,"Probably  water  off  a  duck's  back,  though. "
266,geco,1-267,"I  said  right  out:  'You're  an  old  woman,  Emily,  and  there's  no  fool  like  an  old  fool. "
267,geco,1-268,"The  man's  twenty  years  younger  than  you,  and  don't  you  fool  yourself  as  to  what  he  married  you  for. "
268,geco,1-269,Money! 
269,geco,1-270,"Well,  don't  let  him  have  too  much  of  it. "
270,geco,1-271,Farmer  Raikes  has  got  a  very  pretty  young  wife. 
271,geco,1-272,Just  ask  your  Alfred  how  much  time  he  spends  over  there.' 
272,geco,1-273,She  was  very  angry. 
273,geco,1-274,Natural! 
274,geco,1-275,"I  went  on,  'I'm  going  to  warn  you,  whether  you  like  it  or  not. "
275,geco,1-276,That  man  would  as  soon  murder  you  in  your  bed  as  look  at  you. 
276,geco,1-277,He's  a  bad  lot. 
277,geco,1-278,"You  can  say  what  you  like  to  me,  but  remember  what  I've  told  you. "
278,geco,1-279,He's  a  bad  lot!' 
279,geco,1-280,What  did  she  say? 
280,geco,1-281,Miss  Howard  made  an  extremely  expressive  grimace. 
281,geco,1-282,Darling  Alfred'...'dearest  Alfred'...'wicked  calumnies'  ...'wicked  lies'...'wicked  woman'...to  accuse  her  'dear  husband'! 
282,geco,1-283,The  sooner  I  left  her  house  the  better. 
283,geco,1-284,So  I'm  off. 
284,geco,1-285,But  not  now? 
285,geco,1-286,This  minute! 
286,geco,1-287,For  a  moment  we  sat  and  stared  at  her. 
287,geco,1-288,"Finally  John  Cavendish,  finding  his  persuasions  of  no  avail,  went  off  to  look  up  the  trains. "
288,geco,1-289,"His  wife  followed  him,  murmuring  something  about  persuading  Mr.s.  Inglethorp  to  think  better  of  it. "
289,geco,1-290,"As  she  left  the  room,  Miss  Howard's  face  changed. "
290,geco,1-291,She  leant  towards  me  eagerly. 
291,geco,1-292,"mr  Hastings,  you're  honest. "
292,geco,1-293,I  can  trust  you? 
293,geco,1-294,I  was  a  little  startled. 
294,geco,1-295,"She  laid  her  hand  on  my  arm,  and  sank  her  voice  to  a  whisper. "
295,geco,1-296,"Look  after  her,  mr  Hastings. "
296,geco,1-297,My  poor  Emily. 
297,geco,1-298,They're  a  lot  of  sharks...all  of  them. 
298,geco,1-299,"Oh,  I  know  what  I'm  talking  about. "
299,geco,1-300,There  isn't  one  of  them  that's  not  hard  up  and  trying  to  get  money  out  of  her. 
300,geco,1-301,I've  protected  her  as  much  as  I  could. 
301,geco,1-302,"Now  I'm  out  of  the  way,  they'll  impose  upon  her. "
302,geco,1-303,"Of  course,  Miss  Howard,  I  said,  I'll  do  everything  I  can,  but  I'm  sure  you're  excited  and  overwrought. "
303,geco,1-304,She  interrupted  me  by  slowly  shaking  her  forefinger. 
304,geco,1-305,"Young  man,  trust  me. "
305,geco,1-306,I've  lived  in  the  world  rather  longer  than  you  have. 
306,geco,1-307,All  I  ask  you  is  to  keep  your  eyes  open. 
307,geco,1-308,You'll  see  what  I  mean. 
308,geco,1-309,"The  throb  of  the  motor  came  through  the  open  window,  and  Miss  Howard  rose  and  moved  to  the  door. "
309,geco,1-310,John's  voice  sounded  outside. 
310,geco,1-311,"With  her  hand  on  the  handle,  she  turned  her  head  over  her  shoulder,  and  beckoned  to  me. "
311,geco,1-312,"Above  all,  mr  Hastings,  watch  that  devil...her  husband! "
312,geco,1-313,There  was  no  time  for  more. 
313,geco,1-314,Miss  Howard  was  swallowed  up  in  an  eager  chorus  of  protests  and  good-byes. 
314,geco,1-315,The  Inglethorps  did  not  appear. 
315,geco,1-316,"As  the  motor  drove  away,  Mr.s.  Cavendish  suddenly  detached  herself  from  the  group,  and  moved  across  the  drive  to  the  lawn  to  meet  a  tall  bearded  man  who  had  been  evidently  making  for  the  house. "
316,geco,1-317,The  colour  rose  in  her  cheeks  as  she  held  out  her  hand  to  him. 
317,geco,1-318,"Who  is  that?  I  asked  sharply,  for  instinctively  I  distrusted  the  man. "
318,geco,1-319,"That's  Dr  Bauerstein,  said  John  shortly. "
319,geco,1-320,And  who  is  Dr  Bauerstein? 
